virus_unid	human_unid	group	label	human_cluster
F5HAR0	Q13546	gp_1	1.0	Q13546
P88986	P0C0L5	gp_1	1.0	P0C0L5
P04305	P04083	gp_1	1.0	P09525
P36313	P62136	gp_1	1.0	P62714
B2BUF1	O14646	gp_1	1.0	O14646
Q6SWW3	Q9Y5K6	gp_1	1.0	Q9Y5K6
Q9Q2P1	P63244	gp_1	1.0	P63244
B4UPA8	P11142	gp_1	1.0	P0DMV8
O41925	P13500	gp_1	1.0	P13501
P0DKB0	Q9UQ52	gp_1	1.0	Q02246
O55527	Q8WUM4	gp_1	1.0	Q8WUM4
Q76R62	Q14624	gp_1	1.0	Q06033
P88940	Q15397	gp_1	1.0	Q15397
Q2PJP0	P46108	gp_1	1.0	P46109
P52584	P35968	gp_1	1.0	P17948
Q6SW29	P06400	gp_1	1.0	P06400
P06929	P18848	gp_1	1.0	P18848
Q9IBY5	Q9HD26	gp_1	1.0	Q9HD26
Q9WH76	P61221	gp_1	1.0	P61221
P0CK47	Q9UBX5	gp_1	1.0	O95967
Q9YKI3	O00410	gp_1	1.0	O00410
Q9ICL1	Q12959	gp_1	1.0	P78352
O39474	Q14318	gp_1	1.0	Q14318
P06461	Q08431	gp_1	1.0	Q08431
Q8JPR0	P20591	gp_1	1.0	P20591
P88988	Q6UXV4	gp_1	1.0	Q6UXV4
A3EXD4	Q96RT1	gp_1	1.0	Q96RT1
P88959	Q06124	gp_1	1.0	Q06124
F8RE30	Q16666	gp_1	1.0	Q16666
Q6TVJ1	Q86VP6	gp_1	1.0	Q86VP6
P23372	Q05086	gp_1	1.0	Q05086
Q0A2H0	P78352	gp_1	1.0	P78352
R9UMC1	O00566	gp_1	1.0	O00566
Q9DLK6	P51784	gp_1	1.0	Q9Y4E8
Q6DP93	Q99759	gp_1	1.0	Q99759
X5HMX4	O15118	gp_1	1.0	O15118
A4GDF4	P42224	gp_1	1.0	Q14765
I6TAG8	Q9UL40	gp_1	1.0	Q9UL40
P03485	P15311	gp_1	1.0	P26038
Q69114	P28799	gp_1	1.0	P28799
A0A7S4U3Y4	P62258	gp_1	1.0	P63104
B9UPF3	Q9Y5M8	gp_1	1.0	Q9Y5M8
P10211	P0CG48	gp_1	1.0	P0CG48
D3JIT8	Q96DU3	gp_1	1.0	Q96DU3
Q76RC6	P42224	gp_1	1.0	Q14765
Q805P6	P04792	gp_1	1.0	P02511
P10234	Q16666	gp_1	1.0	Q16666
P06930	P25685	gp_1	1.0	P59910
P30020	P51610	gp_1	1.0	P51610
Q05320	P25815	gp_1	1.0	P25815
A0A0C7TUY8	Q9Y6C9	gp_1	1.0	Q9Y6C9
P14357	O75398	gp_1	1.0	O75398
P03180	Q13651	gp_1	1.0	Q13651
A4D8X6	Q53GL7	gp_1	1.0	Q53GL7
R9UQM6	P46379	gp_1	1.0	P46379
Q3KSS3	Q9NSC5	gp_1	1.0	Q86YM7
P0DSV7	P49069	gp_1	1.0	P49069
P10185	Q16666	gp_1	1.0	Q16666
P87662	P20226	gp_1	1.0	P20226
P30911	Q12959	gp_1	1.0	P78352
P17371	P04792	gp_1	1.0	P02511
Q1NZ49	P04637	gp_1	1.0	P04637
P88990	P56962	gp_1	1.0	P56962
P03493	Q15906	gp_1	1.0	Q15906
Q9WNA9	O95153	gp_1	1.0	O95153
P03211	O95271	gp_1	1.0	Q9H2K2
P03454	P08195	gp_1	1.0	P08195
G8HBD9	Q16666	gp_1	1.0	Q16666
P68323	P15529	gp_1	1.0	P15529
Q9QAI4	Q9H4A3	gp_1	1.0	Q9H4A3
P10201	Q8IZ63	gp_1	1.0	Q8IZ63
A4URT5	Q9HD26	gp_1	1.0	Q9HD26
Q9DUN1	Q93009	gp_1	1.0	Q93009
P03496	Q96SI9	gp_1	1.0	Q96SI9
P88992	Q5VU43	gp_1	1.0	Q5VU43
P04512	P56199	gp_1	1.0	P56199
P03225	Q9C0F1	gp_1	1.0	Q9C0F1
P20505	O14733	gp_1	1.0	O14733
A1Z0P7	Q9UKJ1	gp_1	1.0	Q9UKJ1
P36801	O43709	gp_1	1.0	O43709
P19893	P61956	gp_1	1.0	P61956
F8RFA1	Q16666	gp_1	1.0	Q16666
Q99AU3	P46109	gp_1	1.0	P46109
Q20MD4	Q92997	gp_1	1.0	O14641
P10227	Q9NRY6	gp_1	1.0	O15162
P10230	Q04917	gp_1	1.0	P63104
Q6TVW2	P62877	gp_1	1.0	P62877
P06459	P07305	gp_1	1.0	P07305
P59596	P61769	gp_1	1.0	P61769
P03495	Q07812	gp_1	1.0	Q07812
Q20MH3	Q96SI9	gp_1	1.0	Q96SI9
Q9QR69	O00165	gp_1	1.0	O00165
Q99152	Q92621	gp_1	1.0	Q92621
A9QPL9	Q10589	gp_1	1.0	Q10589
P24935	Q9UI95	gp_1	1.0	Q9UI95
P06428	Q13630	gp_1	1.0	Q13630
A4ZNQ3	Q92966	gp_1	1.0	Q92966
P11158	P78344	gp_1	1.0	P78344
P88981	P27694	gp_1	1.0	P27694
Q3KSS4	Q99750	gp_1	1.0	Q99750
Q77DJ6	P46934	gp_1	1.0	P46934
P59637	P68363	gp_1	1.0	Q13509
P03437	P01903	gp_1	1.0	P06340
O57300	P78556	gp_1	1.0	P78556
P0DTC5	O95832	gp_1	1.0	O95832
Q194T2	P05455	gp_1	1.0	P05455
P03086	Q99689	gp_1	1.0	Q99689
P10210	Q8N9W6	gp_1	1.0	Q8N9W6
P0DTC4	P20700	gp_1	1.0	P20700
P0C6Z6	Q13651	gp_1	1.0	Q13651
P03139	O75843	gp_1	1.0	O75843
Q20MD0	O00505	gp_1	1.0	A9QM74
B4URA9	Q14258	gp_1	1.0	Q14258
A0A5J6DW60	Q16666	gp_1	1.0	Q16666
P15240	P00747	gp_1	1.0	P00747
P03452	Q01813	gp_1	1.0	P08237
P04543	O95786	gp_1	1.0	O95786
Q30NB4	Q9H1Y0	gp_1	1.0	Q9H1Y0
B4URE7	Q9H0W5	gp_1	1.0	Q9H0W5
Q6SWB7	Q9Y4K3	gp_1	1.0	Q9Y4K3
F5H9G3	Q93009	gp_1	1.0	Q93009
P04862	O15111	gp_1	1.0	O15111
Q779E8	Q9UI95	gp_1	1.0	Q9UI95
P21698	Q13888	gp_1	1.0	Q6P1K8
P88937	Q9ULM6	gp_1	1.0	Q96LI5
P04291	Q16666	gp_1	1.0	Q16666
A0A5J6DVX6	P63267	gp_1	1.0	P62736
Q1K9G9	Q9NZT1	gp_1	1.0	P0DP23
C8XNX3	Q15477	gp_1	1.0	Q15477
P08353	Q9UHD2	gp_1	1.0	Q14164
A0A0B6VKU0	Q9UBQ7	gp_1	1.0	Q9UBQ7
Q05128	Q9Y5L4	gp_1	1.0	Q9Y5L4
Q81871	Q9H6X4	gp_1	1.0	Q9H6X4
Q1HVF7	Q00987	gp_1	1.0	Q00987
P06436	Q9UKJ1	gp_1	1.0	Q9UKJ1
F5HIC6	Q14653	gp_1	1.0	Q14653
Q98131	P21912	gp_1	1.0	P21912
K9N4V0	Q15477	gp_1	1.0	Q15477
Q6VE52	Q9HD26	gp_1	1.0	Q9HD26
Q9QJ49	P04637	gp_1	1.0	P04637
Q3ZK64	Q13751	gp_1	1.0	Q13751
Q9ICL0	Q08174	gp_1	1.0	O60245
F5HAR0	Q13546	gp_1	1.0	Q13546
P88986	Q86V48	gp_1	1.0	Q86V48
P04305	P07355	gp_1	1.0	P09525
P36313	P62136	gp_1	1.0	P62714
B2BUF1	O14646	gp_1	1.0	O14646
Q6SWW3	O14818	gp_1	1.0	O14818
Q9Q2P1	P63244	gp_1	1.0	P63244
B4UPA8	P15311	gp_1	1.0	P26038
O41925	P13500	gp_1	1.0	P13501
P0DKB0	Q9UQ52	gp_1	1.0	Q02246
O55527	Q8WUM4	gp_1	1.0	Q8WUM4
Q76R62	Q93088	gp_1	1.0	Q93088
P88940	P56537	gp_1	1.0	P56537
Q2PJP0	Q8NC69	gp_1	1.0	Q8NC69
P52584	P35968	gp_1	1.0	P17948
Q6SW29	P06400	gp_1	1.0	P06400
P06929	P61803	gp_1	1.0	P61803
Q9IBY5	Q9HD26	gp_1	1.0	Q9HD26
P0CK47	O15162	gp_1	1.0	O15162
Q9WH76	P61221	gp_1	1.0	P61221
Q9YKI3	O00410	gp_1	1.0	O00410
Q9ICL1	Q12959	gp_1	1.0	P78352
P23372	Q05BQ5	gp_1	1.0	Q05BQ5
O39474	P05455	gp_1	1.0	P05455
P06461	Q08431	gp_1	1.0	Q08431
P88988	Q6UXV4	gp_1	1.0	Q6UXV4
A3EXD4	Q96RT1	gp_1	1.0	Q96RT1
P88959	Q9HA64	gp_1	1.0	Q9H479
F8RE30	Q16666	gp_1	1.0	Q16666
Q6TVJ1	Q86VP6	gp_1	1.0	Q86VP6
Q8JPR0	P20591	gp_1	1.0	P20591
Q0A2H0	P78352	gp_1	1.0	P78352
R9UMC1	Q5VV52	gp_1	1.0	Q5VV52
Q9DLK6	O94986	gp_1	1.0	O94986
Q6DP93	Q99759	gp_1	1.0	Q99759
X5HMX4	O15118	gp_1	1.0	O15118
A4GDF4	P42224	gp_1	1.0	Q14765
I6TAG8	O75525	gp_1	1.0	O75525
P03485	Q12800	gp_1	1.0	Q12800
Q69114	P28799	gp_1	1.0	P28799
A0A7S4U3Y4	P61981	gp_1	1.0	P63104
B9UPF3	Q9Y5M8	gp_1	1.0	Q9Y5M8
P10211	P0CG48	gp_1	1.0	P0CG48
D3JIT8	Q96DU3	gp_1	1.0	Q96DU3
Q76RC6	P42224	gp_1	1.0	Q14765
Q805P6	P04792	gp_1	1.0	P02511
P10234	Q16666	gp_1	1.0	Q16666
P06930	P25685	gp_1	1.0	P59910
P30020	P51610	gp_1	1.0	P51610
Q05320	P25815	gp_1	1.0	P25815
A0A0C7TUY8	Q9Y6C9	gp_1	1.0	Q9Y6C9
P14357	O75398	gp_1	1.0	O75398
P03180	Q13651	gp_1	1.0	Q13651
A4D8X6	Q53GL7	gp_1	1.0	Q53GL7
R9UQM6	P46379	gp_1	1.0	P46379
Q3KSS3	Q9NSC5	gp_1	1.0	Q86YM7
P0DSV7	P49069	gp_1	1.0	P49069
P10185	Q16666	gp_1	1.0	Q16666
P87662	P20226	gp_1	1.0	P20226
P30911	Q12959	gp_1	1.0	P78352
P17371	P04792	gp_1	1.0	P02511
Q1NZ49	P04637	gp_1	1.0	P04637
P88990	P56962	gp_1	1.0	P56962
P03493	Q15906	gp_1	1.0	Q15906
Q9WNA9	O95153	gp_1	1.0	O95153
P03211	O95271	gp_1	1.0	Q9H2K2
P03454	P08195	gp_1	1.0	P08195
G8HBD9	Q16666	gp_1	1.0	Q16666
P68323	P15529	gp_1	1.0	P15529
Q9QAI4	Q9H4A3	gp_1	1.0	Q9H4A3
P10201	Q8IZ63	gp_1	1.0	Q8IZ63
A4URT5	Q9HD26	gp_1	1.0	Q9HD26
Q9DUN1	Q93009	gp_1	1.0	Q93009
P03496	Q96SI9	gp_1	1.0	Q96SI9
P88992	Q5VU43	gp_1	1.0	Q5VU43
P04512	P56199	gp_1	1.0	P56199
P03225	Q9C0F1	gp_1	1.0	Q9C0F1
P20505	O14733	gp_1	1.0	O14733
A1Z0P7	Q9UKJ1	gp_1	1.0	Q9UKJ1
P36801	O43709	gp_1	1.0	O43709
P19893	P61956	gp_1	1.0	P61956
F8RFA1	Q16666	gp_1	1.0	Q16666
Q99AU3	P46109	gp_1	1.0	P46109
Q20MD4	Q92997	gp_1	1.0	O14641
P10227	Q9NRY6	gp_1	1.0	O15162
P10230	Q04917	gp_1	1.0	P63104
Q6TVW2	P62877	gp_1	1.0	P62877
P06459	P07305	gp_1	1.0	P07305
P59596	P61769	gp_1	1.0	P61769
P03495	Q07812	gp_1	1.0	Q07812
Q20MH3	Q96SI9	gp_1	1.0	Q96SI9
Q9QR69	O00165	gp_1	1.0	O00165
Q99152	Q92621	gp_1	1.0	Q92621
A9QPL9	Q10589	gp_1	1.0	Q10589
P24935	Q9UI95	gp_1	1.0	Q9UI95
P06428	Q13630	gp_1	1.0	Q13630
A4ZNQ3	Q92966	gp_1	1.0	Q92966
P11158	P78344	gp_1	1.0	P78344
P88981	P27694	gp_1	1.0	P27694
Q3KSS4	Q99750	gp_1	1.0	Q99750
Q77DJ6	P46934	gp_1	1.0	P46934
P59637	P68363	gp_1	1.0	Q13509
P03437	P01903	gp_1	1.0	P06340
O57300	P78556	gp_1	1.0	P78556
P0DTC5	O95832	gp_1	1.0	O95832
Q194T2	P05455	gp_1	1.0	P05455
P03086	Q99689	gp_1	1.0	Q99689
P10210	Q8N9W6	gp_1	1.0	Q8N9W6
P0DTC4	P20700	gp_1	1.0	P20700
P0C6Z6	Q13651	gp_1	1.0	Q13651
P03139	O75843	gp_1	1.0	O75843
Q20MD0	O00505	gp_1	1.0	A9QM74
B4URA9	Q14258	gp_1	1.0	Q14258
A0A5J6DW60	Q16666	gp_1	1.0	Q16666
P15240	P00747	gp_1	1.0	P00747
P03452	Q01813	gp_1	1.0	P08237
P04543	O95786	gp_1	1.0	O95786
Q30NB4	Q9H1Y0	gp_1	1.0	Q9H1Y0
B4URE7	Q9H0W5	gp_1	1.0	Q9H0W5
Q6SWB7	Q9Y4K3	gp_1	1.0	Q9Y4K3
F5H9G3	Q93009	gp_1	1.0	Q93009
P04862	O15111	gp_1	1.0	O15111
Q779E8	Q9UI95	gp_1	1.0	Q9UI95
P21698	Q13888	gp_1	1.0	Q6P1K8
P88937	Q9ULM6	gp_1	1.0	Q96LI5
P04291	Q16666	gp_1	1.0	Q16666
A0A5J6DVX6	P63267	gp_1	1.0	P62736
Q1K9G9	Q9NZT1	gp_1	1.0	P0DP23
C8XNX3	Q15477	gp_1	1.0	Q15477
P08353	Q9UHD2	gp_1	1.0	Q14164
A0A0B6VKU0	Q9UBQ7	gp_1	1.0	Q9UBQ7
Q05128	Q9Y5L4	gp_1	1.0	Q9Y5L4
Q81871	Q9H6X4	gp_1	1.0	Q9H6X4
Q1HVF7	Q00987	gp_1	1.0	Q00987
P06436	Q9UKJ1	gp_1	1.0	Q9UKJ1
F5HIC6	Q14653	gp_1	1.0	Q14653
Q98131	P21912	gp_1	1.0	P21912
K9N4V0	Q15477	gp_1	1.0	Q15477
Q6VE52	Q9HD26	gp_1	1.0	Q9HD26
Q9QJ49	P04637	gp_1	1.0	P04637
Q3ZK64	Q13751	gp_1	1.0	Q13751
Q9ICL0	Q08174	gp_1	1.0	O60245
F5HAR0	Q13546	gp_1	1.0	Q13546
P88986	Q86V48	gp_1	1.0	Q86V48
P04305	P07355	gp_1	1.0	P09525
P36313	P62136	gp_1	1.0	P62714
B2BUF1	O14646	gp_1	1.0	O14646
Q6SWW3	O14818	gp_1	1.0	O14818
Q9Q2P1	P63244	gp_1	1.0	P63244
B4UPA8	P15311	gp_1	1.0	P26038
O41925	P13500	gp_1	1.0	P13501
P0DKB0	Q9UQ52	gp_1	1.0	Q02246
O55527	Q8WUM4	gp_1	1.0	Q8WUM4
Q76R62	Q93088	gp_1	1.0	Q93088
P88940	P56537	gp_1	1.0	P56537
Q2PJP0	Q8NC69	gp_1	1.0	Q8NC69
P52584	P35968	gp_1	1.0	P17948
Q6SW29	P06400	gp_1	1.0	P06400
P06929	P61803	gp_1	1.0	P61803
Q9IBY5	Q9HD26	gp_1	1.0	Q9HD26
P0CK47	O15162	gp_1	1.0	O15162
Q9WH76	P61221	gp_1	1.0	P61221
Q9YKI3	O00410	gp_1	1.0	O00410
Q9ICL1	Q12959	gp_1	1.0	P78352
P23372	Q05BQ5	gp_1	1.0	Q05BQ5
O39474	P05455	gp_1	1.0	P05455
P06461	Q08431	gp_1	1.0	Q08431
P88988	Q6UXV4	gp_1	1.0	Q6UXV4
A3EXD4	Q96RT1	gp_1	1.0	Q96RT1
P88959	Q9HA64	gp_1	1.0	Q9H479
F8RE30	Q16666	gp_1	1.0	Q16666
Q6TVJ1	Q86VP6	gp_1	1.0	Q86VP6
Q8JPR0	P20591	gp_1	1.0	P20591
Q0A2H0	P78352	gp_1	1.0	P78352
R9UMC1	Q5VV52	gp_1	1.0	Q5VV52
Q9DLK6	O94986	gp_1	1.0	O94986
Q6DP93	Q99759	gp_1	1.0	Q99759
X5HMX4	O15118	gp_1	1.0	O15118
A4GDF4	P42224	gp_1	1.0	Q14765
I6TAG8	O75525	gp_1	1.0	O75525
P03485	Q12800	gp_1	1.0	Q12800
Q69114	P28799	gp_1	1.0	P28799
A0A7S4U3Y4	P61981	gp_1	1.0	P63104
B9UPF3	Q9Y5M8	gp_1	1.0	Q9Y5M8
P10211	P0CG48	gp_1	1.0	P0CG48
D3JIT8	Q96DU3	gp_1	1.0	Q96DU3
Q76RC6	P42224	gp_1	1.0	Q14765
Q805P6	P04792	gp_1	1.0	P02511
P10234	Q16666	gp_1	1.0	Q16666
P06930	P25685	gp_1	1.0	P59910
P30020	P51610	gp_1	1.0	P51610
Q05320	P25815	gp_1	1.0	P25815
A0A0C7TUY8	Q9Y6C9	gp_1	1.0	Q9Y6C9
P14357	O75398	gp_1	1.0	O75398
P03180	Q13651	gp_1	1.0	Q13651
A4D8X6	Q53GL7	gp_1	1.0	Q53GL7
R9UQM6	P46379	gp_1	1.0	P46379
Q3KSS3	Q9NSC5	gp_1	1.0	Q86YM7
P0DSV7	P49069	gp_1	1.0	P49069
P10185	Q16666	gp_1	1.0	Q16666
P87662	P20226	gp_1	1.0	P20226
P30911	Q12959	gp_1	1.0	P78352
P17371	P04792	gp_1	1.0	P02511
Q1NZ49	P04637	gp_1	1.0	P04637
P88990	P56962	gp_1	1.0	P56962
P03493	Q15906	gp_1	1.0	Q15906
Q9WNA9	O95153	gp_1	1.0	O95153
P03211	O95271	gp_1	1.0	Q9H2K2
P03454	P08195	gp_1	1.0	P08195
G8HBD9	Q16666	gp_1	1.0	Q16666
P68323	P15529	gp_1	1.0	P15529
Q9QAI4	Q9H4A3	gp_1	1.0	Q9H4A3
P10201	Q8IZ63	gp_1	1.0	Q8IZ63
A4URT5	Q9HD26	gp_1	1.0	Q9HD26
Q9DUN1	Q93009	gp_1	1.0	Q93009
P03496	Q96SI9	gp_1	1.0	Q96SI9
P88992	Q5VU43	gp_1	1.0	Q5VU43
P04512	P56199	gp_1	1.0	P56199
P03225	Q9C0F1	gp_1	1.0	Q9C0F1
P20505	O14733	gp_1	1.0	O14733
A1Z0P7	Q9UKJ1	gp_1	1.0	Q9UKJ1
P36801	O43709	gp_1	1.0	O43709
P19893	P61956	gp_1	1.0	P61956
F8RFA1	Q16666	gp_1	1.0	Q16666
Q99AU3	P46109	gp_1	1.0	P46109
Q20MD4	Q92997	gp_1	1.0	O14641
P10227	Q9NRY6	gp_1	1.0	O15162
P10230	Q04917	gp_1	1.0	P63104
Q6TVW2	P62877	gp_1	1.0	P62877
P06459	P07305	gp_1	1.0	P07305
P59596	P61769	gp_1	1.0	P61769
P03495	Q07812	gp_1	1.0	Q07812
Q20MH3	Q96SI9	gp_1	1.0	Q96SI9
Q9QR69	O00165	gp_1	1.0	O00165
Q99152	Q92621	gp_1	1.0	Q92621
A9QPL9	Q10589	gp_1	1.0	Q10589
P24935	Q9UI95	gp_1	1.0	Q9UI95
P06428	Q13630	gp_1	1.0	Q13630
A4ZNQ3	Q92966	gp_1	1.0	Q92966
P11158	P78344	gp_1	1.0	P78344
P88981	P27694	gp_1	1.0	P27694
Q3KSS4	Q99750	gp_1	1.0	Q99750
Q77DJ6	P46934	gp_1	1.0	P46934
P59637	P68363	gp_1	1.0	Q13509
P03437	P01903	gp_1	1.0	P06340
O57300	P78556	gp_1	1.0	P78556
P0DTC5	O95832	gp_1	1.0	O95832
Q194T2	P05455	gp_1	1.0	P05455
P03086	Q99689	gp_1	1.0	Q99689
P10210	Q8N9W6	gp_1	1.0	Q8N9W6
P0DTC4	P20700	gp_1	1.0	P20700
P0C6Z6	Q13651	gp_1	1.0	Q13651
P03139	O75843	gp_1	1.0	O75843
Q20MD0	O00505	gp_1	1.0	A9QM74
B4URA9	Q14258	gp_1	1.0	Q14258
A0A5J6DW60	Q16666	gp_1	1.0	Q16666
P15240	P00747	gp_1	1.0	P00747
P03452	Q01813	gp_1	1.0	P08237
P04543	O95786	gp_1	1.0	O95786
Q30NB4	Q9H1Y0	gp_1	1.0	Q9H1Y0
B4URE7	Q9H0W5	gp_1	1.0	Q9H0W5
Q6SWB7	Q9Y4K3	gp_1	1.0	Q9Y4K3
F5H9G3	Q93009	gp_1	1.0	Q93009
P04862	O15111	gp_1	1.0	O15111
Q779E8	Q9UI95	gp_1	1.0	Q9UI95
P21698	Q13888	gp_1	1.0	Q6P1K8
P88937	Q9ULM6	gp_1	1.0	Q96LI5
P04291	Q16666	gp_1	1.0	Q16666
A0A5J6DVX6	P63267	gp_1	1.0	P62736
Q1K9G9	Q9NZT1	gp_1	1.0	P0DP23
C8XNX3	Q15477	gp_1	1.0	Q15477
P08353	Q9UHD2	gp_1	1.0	Q14164
A0A0B6VKU0	Q9UBQ7	gp_1	1.0	Q9UBQ7
Q05128	Q9Y5L4	gp_1	1.0	Q9Y5L4
Q81871	Q9H6X4	gp_1	1.0	Q9H6X4
Q1HVF7	Q00987	gp_1	1.0	Q00987
P06436	Q9UKJ1	gp_1	1.0	Q9UKJ1
F5HIC6	Q14653	gp_1	1.0	Q14653
Q98131	P21912	gp_1	1.0	P21912
K9N4V0	Q15477	gp_1	1.0	Q15477
Q6VE52	Q9HD26	gp_1	1.0	Q9HD26
Q9QJ49	P04637	gp_1	1.0	P04637
Q3ZK64	Q13751	gp_1	1.0	Q13751
Q9ICL0	Q08174	gp_1	1.0	O60245
F5HAR0	Q13546	gp_1	1.0	Q13546
P88986	Q86V48	gp_1	1.0	Q86V48
P04305	P07355	gp_1	1.0	P09525
P36313	P62136	gp_1	1.0	P62714
B2BUF1	O14646	gp_1	1.0	O14646
Q6SWW3	O14818	gp_1	1.0	O14818
Q9Q2P1	P63244	gp_1	1.0	P63244
B4UPA8	P15311	gp_1	1.0	P26038
O41925	P13500	gp_1	1.0	P13501
P0DKB0	Q9UQ52	gp_1	1.0	Q02246
O55527	Q8WUM4	gp_1	1.0	Q8WUM4
Q76R62	Q93088	gp_1	1.0	Q93088
P88940	P56537	gp_1	1.0	P56537
Q2PJP0	Q8NC69	gp_1	1.0	Q8NC69
P52584	P35968	gp_1	1.0	P17948
Q6SW29	P06400	gp_1	1.0	P06400
P06929	P61803	gp_1	1.0	P61803
Q9IBY5	Q9HD26	gp_1	1.0	Q9HD26
P0CK47	O15162	gp_1	1.0	O15162
